case,a_2030,eps_star,"GDP, pct above no-AI","Measured TFP, pct above no-AI","Average wage, pct above no-AI",cognitive occupations w_C,"Labor share, pct of income","Cognitive employment, pct since mid-2026","Unemployment rate, cognitive, pct"
substantial (baseline),0.44799999999999995,1.300967261904762,8.283225887409596,3.0747569151420073,2.1366230000657405,-0.3307814708150114,56.09605260444718,-3.8660332907783035,4.497991414594817
all-in gain halved,0.22399999999999998,3.3936011904761907,6.675751625981907,1.641723383492999,-0.33760542698731966,-2.6381130316504353,55.59315662634852,-3.684414007887593,4.404205872280571
"gain halved, checking becomes new human work",0.22399999999999998,1.9985119047619047,5.041123234202183,1.6165805446504145,0.7222184571167078,-0.7757325944370952,57.259842590289736,-2.3840193878318816,3.789936808931022
"gain halved, adoption stalls",0.22399999999999998,3.3936011904761907,4.2905949454739245,1.0352198118734224,-0.16357329551635047,-1.475284538403121,57.250537395528646,-1.9563397246477265,3.5409877036293738
all-in gain quartered,0.11199999999999999,7.578869047619049,5.810183647493217,0.8751485131428094,-1.6607827500066064,-3.873766322924066,55.3204527461413,-3.586246256290848,4.3537512674731325
pure slop: no time saved at all,1.0000000000000002e-06,inf,4.901021116708804,0.0737617972591087,-3.043656569468234,-5.166470382641464,55.03256493424092,-3.4828799930967547,4.300822979648682
