m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.45,0.5,0.5,0.08,0.25,3,2.009740258672843,2.9647674391993672,59.475313702906675
0.2,0.2,0.45,0.5,0.5,0.08,0.5,4,2.0645118886382763,2.927526509395577,59.472206026927154
0.2,0.2,0.45,0.5,0.5,0.04,0.1,3,1.8861309750691113,3.105329805065434,59.482332403501005
0.2,0.2,0.45,0.5,0.5,0.04,0.25,4,1.9960393301513335,3.0388368941351502,59.476091300631474
0.2,0.2,0.45,0.5,0.5,0.04,0.5,5,2.068087915673389,2.9942417003087236,59.472003177196996
0.2,0.2,0.45,0.5,0.25,0.17,0.1,2,2.3654888013441733,2.9718701777547203,59.110529332413606
0.2,0.2,0.45,0.5,0.25,0.17,0.25,3,2.4410498215268195,2.9167409905629986,59.10621890487266
0.2,0.2,0.45,0.5,0.25,0.17,0.5,4,2.486115897213681,2.883766015326258,59.103649378480725
0.2,0.2,0.45,0.5,0.25,0.08,0.1,3,2.311546072765913,3.088740420640702,59.11360819918685
0.2,0.2,0.45,0.5,0.25,0.08,0.25,4,2.4233868261875235,3.011501277879138,59.107226257808
0.2,0.2,0.45,0.5,0.25,0.08,0.5,5,2.4927206545962033,2.962875785502945,59.10327287728917
0.2,0.2,0.45,0.5,0.25,0.04,0.1,4,2.270106310947151,3.1965814643967936,59.11597438447025
0.2,0.2,0.45,0.5,0.25,0.04,0.25,5,2.4042853548217558,3.1125936138364914,59.108315817261406
0.2,0.2,0.45,0.5,0.25,0.04,0.5,6,2.4932895256929655,3.055048845182118,59.10324045002406
0.2,0.2,0.45,0.5,0.0,0.17,0.1,3,2.7609465882746376,3.015089056616239,58.74282169082618
0.2,0.2,0.45,0.5,0.0,0.17,0.25,4,2.8558938047074767,2.9449021427399984,58.737378122058615
0.2,0.2,0.45,0.5,0.0,0.17,0.5,5,2.9125669776755014,2.9028087015498922,58.73413095528763
0.2,0.2,0.45,0.5,0.0,0.08,0.1,4,2.702015067358543,3.155872026653405,58.74620255559954
0.2,0.2,0.45,0.5,0.0,0.08,0.25,5,2.835355064250056,3.0615315099049747,58.73855529582096
0.2,0.2,0.45,0.5,0.0,0.08,0.5,6,2.919030944417056,3.001143947248897,58.73376069088076
0.2,0.2,0.45,0.5,0.0,0.04,0.1,5,2.650647460837652,3.293195798152943,58.74915083996386
0.2,0.2,0.45,0.5,0.0,0.04,0.25,6,2.8070788153010895,3.1922513607718237,58.740176273067576
0.2,0.2,0.45,0.5,0.0,0.04,0.5,7,2.9119050642477884,3.121840442461637,58.73416887167346
0.2,0.2,0.45,0.75,0.5,0.17,0.1,2,2.209414736351367,2.9516357212103834,59.258327627977245
0.2,0.2,0.45,0.75,0.5,0.17,0.25,3,2.2760364474926353,2.9033957871609153,59.25453496366124
0.2,0.2,0.45,0.75,0.5,0.17,0.5,4,2.3155699178258438,2.874714930630263,59.25228538928968
0.2,0.2,0.45,0.75,0.5,0.08,0.1,3,2.157836401730573,3.0576891437118525,59.26126535319172
0.2,0.2,0.45,0.75,0.5,0.08,0.25,4,2.259644194612509,2.9882911225610322,59.25546795116764
0.2,0.2,0.45,0.75,0.5,0.08,0.5,5,2.3221947605298165,2.945087868969623,59.251908488535086
0.2,0.2,0.45,0.75,0.5,0.04,0.1,4,2.120466290640133,3.152701550692057,59.26339462103121
0.2,0.2,0.45,0.75,0.5,0.04,0.25,5,2.244114066288616,3.0765936396967497,59.25635198793847
0.2,0.2,0.45,0.75,0.5,0.04,0.5,6,2.325519496504369,3.0250237482080387,59.25171934543548
0.2,0.2,0.45,0.75,0.25,0.17,0.1,3,2.8025520277955795,3.0158974945696233,58.70692108111278
0.2,0.2,0.45,0.75,0.25,0.17,0.25,4,2.898240434351118,2.945205240822894,58.70143248249114
0.2,0.2,0.45,0.75,0.25,0.17,0.5,5,2.955192710494292,2.902930934416521,58.69816782901073
0.2,0.2,0.45,0.75,0.25,0.08,0.1,4,2.7438630366443117,3.1573711644790334,58.71028959433649
0.2,0.2,0.45,0.75,0.25,0.08,0.25,5,2.8781117670390266,3.062379155562363,58.702586680801716
0.2,0.2,0.45,0.75,0.25,0.08,0.5,6,2.96229828583785,3.001608978095872,58.69776062745851
