t,m,d,a,psi,dlnA,dlnR,dg,dlnr_star,s_L_star,dlnw_common,dlnYL_star,ell_N_tilde,l_C_star,l_N_star,dln_tfp,l_C,l_N,U_C,U_N,G_C,B_N,q_C,q_N,N_C,x_C,dlnw_C_clear,l_C_demand,E,Z,D_C,v_C,v_N,S_C,S_N,H_C,H_N,f_C,f_N,dlnY,dlnw_C_paid,dlnw_C_mpl,dlnw_N,dlnw_avg,dlnr,dlnK,s_L,u_excess,u_rate,u_rate_C,u_rate_N,reallocation,overhang,cog_shift
2024.0,0.06982424047583595,0.029972248723889428,0.27999999999999997,0.75,0.0,0.0012596389260633592,2.1049224493307707e-05,0.0007764691161855807,0.5992611656467236,2.834497384066395e-05,0.0012604943469962826,0.0012463218600759507,0.5998369093836908,0.3621630906163092,0.0003281137694439348,0.6002879999999999,0.361712,0.017407693275154762,0.020592306724845237,0.0008033947055768875,0.0013318705706606426,0.00634508755984054,0.014031313412977134,0.6002879999999999,-8.447981215452853e-05,-0.0014768448276742266,0.5992996477134733,0.000988352286526606,0.0,0.0,0.004279295229766888,0.008183793290905132,0.01905507781314238,0.021984922186857617,0.0029075786828406695,0.005095092866881795,0.17112844672413613,0.24396101445175988,0.0012596389260633592,-5.6134838313864576e-05,-0.0014768448276742266,0.0025192778521267185,0.0009129986000042333,0.0007762247102027688,0.0023286741306083065,0.5992612146182135,0.0,0.038,0.028181665283847857,0.053863653541486464,0.000460549833963958,0.0004822682010213386,-0.0007517394798243987
2024.0833333333333,0.0715606242266208,0.031237752920887655,0.2823333333333312,0.75,1.7541020411089754e-06,0.0005139626735639789,8.501560460669077e-06,0.0008298983966642484,0.599211718284977,3.616193535951216e-05,0.001350828589360862,0.0013318705706605516,0.5998059254729693,0.3621940745270306,0.00035424547428636896,0.599386698761719,0.361731798429647,0.018237621685048895,0.02064388112358498,0.0,0.0013683713816923238,0.00558468484407431,0.01395289212945122,0.6002166271716132,-0.00016215907795325056,-0.0014323412983377837,0.5993079808274623,7.871793425673346e-05,0.0,0.0,0.004959212129922189,0.008144758864865476,0.019889132174935695,0.02210289085838889,0.0033211625439291794,0.0050821443870907096,0.18537828025219388,0.24328991031717473,0.0005139626735639789,-0.0001259971425937384,-0.00023920663129604604,0.0009167035590277151,0.0002665669838174152,0.000590793849291913,0.001772381547875739,0.5992596305712603,0.0008815028086338744,0.038881502808633873,0.029528665049744857,0.05398847841919577,3.058144609727198e-05,0.0,-0.0008033947055768416
2024.1666666666667,0.0733344741586803,0.032554896661323454,0.28466666666666873,0.75,2.4625654128313987e-06,0.0006176820180040744,1.0200786833995568e-05,0.000886550237096344,0.5991591392507551,4.383799492609551e-05,0.0014462555048915242,0.0014231052247220609,0.5997728793144221,0.3622271206855778,0.0003815904905888042,0.5993604754933339,0.36176673805345644,0.01820414855349872,0.02066863789971083,0.0,0.0013690659041094566,0.005811961088482221,0.013931878808906065,0.6001569307716779,-0.00023313050840381401,-0.0013828299708749262,0.5993268650774164,3.361041591753988e-05,0.0,0.0,0.005234100055276684,0.008133670727061133,0.019857639585475585,0.022124969783990728,0.003476026849630053,0.005077854558829214,0.19340796215560102,0.2435116507614498,0.0006176820180040744,-0.00018929251347771852,-0.0002376360040475934,0.0009302633933068269,0.0002322536448992431,0.0006498149551271126,0.0019494448653813376,0.5992065830298987,0.0008727864532095467,0.038872786453209546,0.02947731758695786,0.054044785601219836,2.259855954334089e-05,0.0,-0.0008584909750734146
2024.25,0.07514631328890538,0.033925633031365664,0.287,0.75,3.312630982331029e-06,0.000748488432569239,1.234610035343855e-05,0.0009469528585441368,0.5991031718330708,5.241889581791823e-05,0.0015482507061536856,0.001520384942753561,0.5997376402482631,0.3622623597517368,0.0004109890211024299,0.5993530425814224,0.3618045022606316,0.01816678104053016,0.020675674117415603,0.0,0.0013683877748082995,0.005940029668596033,0.013938821849178433,0.6001121303467978,-0.0002990815788380156,-0.0013557719741663658,0.5993408923457413,1.2150235681129828e-05,0.0,0.0,0.005383051256750453,0.0081383798593623,0.019820834969923408,0.022129016600658014,0.003558106194260433,0.0050803536648883285,0.19787974235065306,0.24393990149320283,0.000748488432569239,-0.0002466626830200973,-0.0002641411999164397,0.0009822604950756285,0.0002161129814527936,0.0007184493518025192,0.0021553480554075575,0.5991489723821606,0.0008424551579457665,0.038842455157945766,0.029418943887462818,0.0540568515555681,1.964691214165204e-05,0.0,-0.0009172467185112136
2024.3333333333333,0.07699665750008713,0.035351975768994674,0.28933333333333117,0.75,4.341472678450908e-06,0.000890886572325192,1.4676894001151841e-05,0.001011346998116096,0.5990436086175482,6.200599310361332e-05,0.0016572633772396225,0.0016240896443485903,0.5997000699902735,0.3622999300097265,0.00044259949341302784,0.5993509739207858,0.36184172742427834,0.018132117943786275,0.020675180711149297,0.0,0.001376036979751305,0.006011351863802592,0.013952231049682892,0.6000753985894174,-0.00036143980193904015,-0.0013481216339969635,0.5993462897683325,4.684152453360291e-06,0.0,0.0,0.005459215779139904,0.00814794948040928,0.019786132400678218,0.0221257501466522,0.0035992390843833585,0.005084851951522433,0.20029243857251966,0.2443685976459572,0.000890886572325192,-0.00029943380883542685,-0.00030617307713744506,0.001060263501861242,0.00021264229464481026,0.0007923821967096954,0.0023771465901290863,0.5990875038829333,0.000807298654935569,0.03880729865493557,0.02936455780357311,0.05405037077166111,2.0011538424929975e-05,0.0,-0.0009798931697295146
2024.4166666666667,0.07888601465954542,0.03683599998784514,0.29166666666666874,0.75,5.564547178546894e-06,0.0010383998520773186,1.708423632872358e-05,0.001079980769213762,0.5989802320325888,7.268815618056464e-05,0.001773747416486622,0.0017346210648070664,0.5996600222511514,0.36233997774884846,0.0004765759493304829,0.5993473034110185,0.36187807999136085,0.018103301418491397,0.020671315179128912,0.0,0.0013933593824342339,0.0060498329123792865,0.013965654197015863,0.6000429115543551,-0.0004213073876814742,-0.0013554216252797257,0.5993430444101695,4.259000848993999e-06,0.0,0.0,0.005494819226661784,0.008158887593220936,0.01975700663282171,0.022119579292608223,0.0036179840554221927,0.005089865998902263,0.20153264526529258,0.2447567456438041,0.0010383998520773186,-0.0003486192315009096,-0.0003547478013862493,0.0011531463170669784,0.00021702387029531615,0.0008698814651006613,0.002609644395301984,0.5990223568070556,0.0007746165976203132,0.03877461659762031,0.029319432642697096,0.05403567602012907,2.1984429481175516e-05,0.0,-0.0010466750134743082
2024.5,0.08081488370793755,0.03837984279405758,0.294,0.75,6.9882335392738585e-06,0.0011894379130578969,1.95412651922646e-05,0.001153113559580561,0.5989128131866697,8.45525579967621e-05,0.0018981741981569662,0.0018524038023889481,0.5996173423432081,0.3623826576567919,0.0005130760988687518,0.599339336424319,0.3619140818636237,0.018080846237709655,0.020665735474347344,0.0,0.001419360731199637,0.006069613460612919,0.013977807718172098,0.6000124893868739,-0.000479522318541019,-0.0013739792030699235,0.5993320704096005,7.266014718565472e-06,0.0,0.0,0.005508170630243493,0.00817033293093614,0.019734105075657444,0.022112203173364115,0.003624631991056793,0.005095060359305124,0.20210697083079024,0.24511236454608218,0.0011894379130578969,-0.0003949697605442569,-0.00040542720518139334,0.001254836264870811,0.0002265054515721936,0.0009506174781245136,0.002851852434373541,0.5989534204227662,0.0007465817120569998,0.038746581712057,0.029284507933889453,0.054016794764924124,2.4710512647851957e-05,0.0,-0.0011178510553499612
2024.5833333333333,0.08278375371878377,0.039985703783077434,0.2963333333333312,0.75,8.616672305295909e-06,0.0013442903645896707,2.2052647237046187e-05,0.001231018430203221,0.5988411109981977,9.769069090833274e-05,0.0020310400766593794,0.001977886395052565,0.5995718667746525,0.3624281332253475,0.0005522659116318688,0.5993262103115399,0.3619503767761403,0.018064339278384727,0.020659073633934745,0.0,0.0014527357982150324,0.0060787736067533455,0.013988942702447087,0.5999828563147699,-0.0005367347467633921,-0.0014011942574015366,0.5993142915736256,1.1918737914284883e-05,0.0,0.0,0.005509319940194192,0.008182257285967805,0.019717065169099508,0.022104220776205524,0.0036247459963390364,0.005100450615184058,0.20229765273707798,0.24545259226581637,0.0013442903645896707,-0.0004390440558550593,-0.00045620122448414296,0.0013623508028920406,0.0002396177931294162,0.001034804226751476,0.003104412680254428,0.5988804656036225,0.0007234129123194696,0.03872341291231947,0.0292591768539107,0.05399519957437711,2.7784943035902288e-05,0.0,-0.001193694914236603
2024.6666666666667,0.08479310292923066,0.04165584540234789,0.29866666666666875,0.75,1.045439290838309e-05,0.001503884113508559,2.463369236248318e-05,0.001313983428358369,0.5987648715361733,0.00011220092178571977,0.0021728700825532966,0.0021115424252062453,0.5995234228318091,0.36247657716819076,0.0005943216986671756,0.5993077879588016,0.3619875243094738,0.018053134193198588,0.020651553538525644,0.0,0.0014924387257393423,0.0060818148680742085,0.013999595764713707,0.5999532288768454,-0.0005934679730116587,-0.0014353584394989098,0.5992904106471463,1.7377311655297767e-05,0.0,0.0,0.005503633627353623,0.008194830376015861,0.01970525847628064,0.022095804273981532,0.0036212643286836366,0.005106127002394744,0.20225869808735947,0.24579206127501954,0.001503884113508559,-0.000481267051225939,-0.0005062873278843535,0.0014744479842320225,0.0002556304357426431,0.0011228445800634292,0.0033685337401902875,0.5988032155140646,0.0007046877317242323,0.03870468773172423,0.02924243104061215,0.05397136553504167,3.1031338434794886e-05,0.0,-0.001274495736806065
2024.75,0.08684339774284461,0.04339259316505037,0.301,0.75,1.2507200605256689e-05,0.0016692992985408222,2.730222278149379e-05,0.0014023124577806812,0.5986838274439237,0.00012818962690880535,0.002324220064434914,0.0022538716506778833,0.5994718281497007,0.36252817185029923,0.0006394311670030593,0.5992841732721247,0.3620259722996665,0.018046609790246353,0.020643244637962112,0.0,0.0015377602969521842,0.006081193564921943,0.014010225070566432,0.5999230897872163,-0.0006501607945776776,-0.0014753830641884601,0.5992609013684324,2.327190369233456e-05,0.0,0.0,0.0054939075630331576,0.00820822278535288,0.01969806936128332,0.02208697342118182,0.0036157027594887715,0.005112172112145782,0.20207271475246028,0.24614093028268996,0.0016692992985408222,-0.0005219711676688723,-0.0005554865171399079,0.0015908096708792368,0.00027421864354890336,0.0012151922389557514,0.003645576716867254,0.5987213728725408,0.0006898544282084654,0.038689854428208464,0.02923328997255438,0.05394540173145613,3.438352870502315e-05,0.0,-0.0013605589336336947
